Abbreviation,Meaning,Example
ለፕ/ት,ለፕሬዚዳንት,ሮይተርስ በዘገባው ማሳሰቢያው የቀረበው የቡርኪናፋሶው ፕሬዝዳንትና የወቅቱ የአ/አ/ድ ሊቀመንበር ብሌዝ ካምፓዎሬ ለፕ/ት ኢሳያስ አፈወርቂ ባለፈው ወር በላኳቸው ሁለት ደብዳቤዎች እንደሆነም አስረድቷል።
ሊ/መንበር,ሊቀ መንበር,እንደ ፓርቲው ሊ/መንበር ገለፃ ከሆነ ግጭቱ የተከሰተው በ30/10/94 ዓ.ም ሲሆን የንዌር ተወላጅ የሆኑ አንድ የም/ቤት አባል ከኢታንግ ወረዳ ፖሊስ ጣቢያ አዛዥ ጋር ተጣልተው የጣቢያው አዛዥ የሆኑት አቶ ቢይ የአኝዋክ ተወላጅ ፖሊሶችን በመጥራት ግለሰቡን እንዲደበደቡ በማዘዛቸው የተፈጠረ ነው። በም/ቤት አባሉም ላይ ከፍተኛ ጉዳት በመድረሱ የንዌር ብሔረሰብ አባላት በደረሰው በደል በመቆጨት ግለሰቡን ወደ መንደራቸው ይዘው ለመሄድ ሲያስቡ የፖሊስ አዛዡ የመሣሪያ ተኩስ በመክፈታቸው ሳቢያ ችግሩ ወደ ብሔረሰብ ግጭት መሸጋገሩን ከኢታንግ ከተማ አልፎ ችግሩ ወደ ገጠር መንደሮች ተዛምቶ ለበርካታ የሰውና የንብረት ውድመት መንስኤ እንደሆነ ተናግረዋል።
ሊ/መንበርና,ሊቀ መንበርና,ጉባኤው አቶ መለስ ዜናዊን ሊ/መንበርና አቶ አዲሱ ለገሠን ም/ሊ/መንበር አድርጐ ያለምንም ተቃውሞ መርጧል።
ሊማትድ/ካናዳ,ሊሚትድ ,ከነዚህ አለመአቀፍ ትላልቅ ድርጅቶች ውስጥ የጀነራል ኤሌክትሪክ/ዮ.ኤስ.ኤ/ የሎክሂድ ማርቲን/ዮ.ኤስ.ኤ/ የታዲሮንና/እስራኤል/ ካናዲያን ባንክስ ኖት ኦቨርሲስ ሊማትድ/ካናዳ/ የተባሉ ግዙፍ ኪባንያዎች የፓስፖርቱን ሥራ ለመረከብ ከሚጫረቱት ውስጥ የተወሠኑት መሆናቸው ተመልክቷል።
ሌ/ኮ,ሌተናል ኮሎኔል,እነዚህ የቀድሞው የአየር ኃይሉ ከፍተኛ መኮንኖች በአሁኑ ሰዓት በአስከፊ ሁኔታ ውስጥ መሆናቸውን የጠቀሰው የድርጅቱ መግለጫ ከዚህ ቀደም ወደ ኬንያ እና ኡጋንዳ የኮበለሉት ኮሎኔል ደሳለኝ መብራቴ እና መሰሎቻቸው ከስደት ዓለም ተይዘው በመምጣት ወደ እስር ቤት እንደተወረወሩ ተነግሯል። በአሁኑ ሰዓት በእሥር ላይ ይገኛሉ የተባሉት የአየር ኃይሉ አባላት ብ/ጄ ተሻለ ዘውዴ፣ ብ/ጄ አሸናፊ ገ/ፃዲቅ፣ ብ/ጄ መስፍን ኃይሌ፣ ኮሎኔል ግዛው፣ ኮ/ል ተካ መኮንን ኮ/ሌ ብርሃኑ ከበደ፣ ኮ/ል ብርሃኑ ውብነህ፣ ኮ/ል አስማረ ጌታሁን፣ ኮ/ል ሉል ገ/መድኅን፣ ኮ/ል /ጥላሁን ነብሮ፣ ኮ/ል ግርማ አስፋው፣ ኮ/ል ካሣዬ ክፍሌ ኮ/ል በለጠ ወንድሙ፣ ኮ/ል ደሣለኝ መብራቴ፣ ኮ/ል ጥግነህ ወ/ጊዮርጊስ፣ ኮ/ል አሥራት ተካልኝ፣ ኮ/ል ጥላሁን በዛብህ፣ ኮ/ል ሰለሞን ከበደ፣ ሌ/ኮ ለማ ተካልኝ፣ ሌ/ኮ በቀለ ዘገየና ሌ/ኮ እምናውቀው ማሞ መሆናቸውን ያመለከተው የድርጅቱ መግለጫ በአየር ኃይሉ አባላት ይፈቱ ለጠ/ሚ/ር መለስ ዜናዊ በፋክስ ቁጥር 251-1-552020 ተደጋጋሚ እሮሮዎች ይቀርቡላቸው ዘንድ ተማጽኖውን አቅርቧል።
ሌ/ኮ/ል,ሌተናል ኮሎኔል,ሻዕቢያ በፖለቲካ ተፅዕኖ ምክንያት እየተማረሩ ያሉትን የኢትዮጵያ ፓይለቶችን ከሀገር እየከዱ እንዲቀላቀሉት ለማባበል በቀድሞ መንግስት ያገለገሉ አብራሪዎች የተወሰነ ጊዜ ብቻ አገልግሎት እየሰጡ ወደ ፈለጉት ሀገር መሻገር እንዲችሉ ፈቃደኝነቱን እያሳየ ነው። በዚህ መልኩ ኤርትራ ውስጥ የተወሰነ አገልግሎት ሰጥተው ወደ አሜሪካ ከተሻገሩት አብራሪ መኮንኖች መሃል ከመ/አለቃ ክንዴ ዳምጤ ሌላ ሌ/ኮ/ል ግርማ ጫላ እንደሚገኙበት የሚገልፁት ባልዳረባችን ያነጋገራቸው ውስጥ አዋቂዎች በአሁኑ ሰአት ቢያንስ 4 አብራሪዎችና አንድ ቴክኒሽያን ኤርትራ ይገኛሉ። እነሱም የኢትዮጵያ አርበኞች ግንባር ሊቀመንበር የሆኑት ኮ/ል ታደሰ ሙሉነህ ሌ/ኮ/ል ማርቆስና ማስተር ቴክኒሻን ግርማ ለማ እንዲሁም ባለፈው ጥር 28/95 ከመቀሌ ኤል 39 የበረራ አውሮፕላን ይዘው አስመራ የገቡት ሻምበል ተሾመ ተንኮሉና መ/አ ሳሙኤል ገ/ማሪያም ናቸው። ቀድሞ የድሬደዋ ቤዝ አዛዥ የነበሩት ሌ/ኮል ዋጋሪ ገመቹ ደግሞ ኤርትራን ጨምሮ በጐረቤት አገራት ውስጥ ይንቀሳቀሳሉ ነው የሚባለው።
ሌ/ኮል,ሌተናል ኮሎኔል,ሻዕቢያ በፖለቲካ ተፅዕኖ ምክንያት እየተማረሩ ያሉትን የኢትዮጵያ ፓይለቶችን ከሀገር እየከዱ እንዲቀላቀሉት ለማባበል በቀድሞ መንግስት ያገለገሉ አብራሪዎች የተወሰነ ጊዜ ብቻ አገልግሎት እየሰጡ ወደ ፈለጉት ሀገር መሻገር እንዲችሉ ፈቃደኝነቱን እያሳየ ነው። በዚህ መልኩ ኤርትራ ውስጥ የተወሰነ አገልግሎት ሰጥተው ወደ አሜሪካ ከተሻገሩት አብራሪ መኮንኖች መሃል ከመ/አለቃ ክንዴ ዳምጤ ሌላ ሌ/ኮ/ል ግርማ ጫላ እንደሚገኙበት የሚገልፁት ባልዳረባችን ያነጋገራቸው ውስጥ አዋቂዎች በአሁኑ ሰአት ቢያንስ 4 አብራሪዎችና አንድ ቴክኒሽያን ኤርትራ ይገኛሉ። እነሱም የኢትዮጵያ አርበኞች ግንባር ሊቀመንበር የሆኑት ኮ/ል ታደሰ ሙሉነህ ሌ/ኮ/ል ማርቆስና ማስተር ቴክኒሻን ግርማ ለማ እንዲሁም ባለፈው ጥር 28/95 ከመቀሌ ኤል 39 የበረራ አውሮፕላን ይዘው አስመራ የገቡት ሻምበል ተሾመ ተንኮሉና መ/አ ሳሙኤል ገ/ማሪያም ናቸው። ቀድሞ የድሬደዋ ቤዝ አዛዥ የነበሩት ሌ/ኮል ዋጋሪ ገመቹ ደግሞ ኤርትራን ጨምሮ በጐረቤት አገራት ውስጥ ይንቀሳቀሳሉ ነው የሚባለው።
ሌ/ኮሎኔል,ሌተናል ኮሎኔል,የብ/ጀ/ተፈራ ማሞ፣ አቶ አሣምነው ፅጌ (የቀድሞው ብ/ጀኔራል)፣ ሌ/ኮሎኔል ደምሰው አንተነህ፣ ሻለቃ መኮንን ወርቁ፣ ሌ/ኮ/ አበራ አሰፋ፣ ሌ/ኮ ዓለሙ ጌትነት፣ ሌ/ኮ ሰለሞን አሻግሬ፣ ሌ/ኮ ጌታቸው ብርሌ፣ ሻምበል ተመስገን ባይለኝ፣ ሻለቃ አዱኛ አለማየሁ (የሚስጥር ስም እሸቴ)፣ ሌ/ኮ ፋንታሁን ሙሀባ፣ ሻለቃ መሠከረ ካሣ፣ ሻለቃ ምስጋናው ተሰማ፣ ሻለቃ ፋናዬ ውቤ፣ መ/አ አባቡ ተፈራ፣ ሻለቃ አደፍርስ አሳምነው፣ አቶ ክፍሌ ስንሻው፣ የሺዋስ መንገሻ፣ መንግሥቱ አበበ፣ ወ/ሮ እማዋይሽ ዓለሙ፣ ጐሽ ይራድ ፀጋው (ጠበቃ)፣ መላኩ ተፈራ፣ ዋ/ሳጅን አመራር ባያብል፣ ም/ሳጅን ጐበና በላይ፣ ረ/ሳጅን ይበልጣል ብርሃኑ፣ ም/ሳጅን የሺዋስ ምትኩ፣ ሣጅን ውድነህ ተመስገን፣ ጌቱ ወርቁና ጽጌ ሃብተማርያም በወ/መ/ሥ/ሥ/ቁ 27 ለፖሊስ እና 35 ለፍርድ ቤት በሰጡት ቃልና በዐቃቤ ሕግ ምስክሮች ስለተመሰከረባቸው በሁሉም ክሶች በማረሚያ ቤት ሆነው እንዲከላከሉ በይኗል። በተጨማሪም ኢ/ር አራጋው አስፋው፣ ሣጅን አይተን ካሣና አቶ ጌቱ ወልዴ እያንዳንዳቸው በሦስት ሺ ብር ዋስ ተለቀው በውጭ እንዲከላከሉ ፍርድ ቤቱ ብይን ሰጥቷል። በሌለበት ክስ ተመስርቶበት የነበረው አቶ አማኑኤል (የአባቱ ስም ያልታወቀ) በነፃ ተሰናብቷል።
ሌ/ኰ/ል,ሌተናል ኮሎኔል,"በኤርትራ ህዝባዊ ግንባር በኩል ደግሞ የቀድሞ የደርግ የምድር ጦር መኰንኖች ተሳታፊ መሆናቸውን ""ዘ ኢንዲያን ኦሽን ኒውስ ሌተር"" በግንቦት 20/90 እትሙ ገልጿል። እንደዘገባው ከሆነ በባድመንና ሽራሮ ወረራ ወቅት የሻዕቢያን ሜካናይዝድ ጦር ከመሩት የቀድሞ የኢትዮጵያ መኰንኖች መካከል የ16ኛው ስንጥቅ ሜካናይዝድ ብርጌድ 26ኛ ሜ/ሻለቃ አዛዥ የነበሩት ሌ/ኰ/ል ታደሰ ሰንበታና የ6ኛው ሜካናይድ ብርጌድ ወታደራዊ ደህንነት ኃላፊ የነበሩት ሻለቃ ነሲቡ ወ/ገሪማ በኤርትራ ወገን ሆነው በግንባር ቀደምትነት መሳተፋቸው ተገልጿል።"
ሌ/ኰ/በየነ,ሌተናል ኮሎኔል በየነ,ሌ/ኰ/በየነ ኡርጌሣ
ሌ/ጄ,ሌተናል ጄነራል, «በጣሊያን ኤምባሲ መኖር ሰልችቶኛል፤ እንዴት ልውጣ»ሌ/ጄ ተስፋዬ ገ/ኪዳን
ሌ/ጄ/ል,ሌተናል ጄነራል,ስታር ቢዝነስ ግሩፕ የሌተናል ጄኔራል ፃድቃን ባለቤትና ወንድሞች ያሉበት ድርጅት በመሆኑ ሌ/ጄ/ል ፃድቃንም የዚሁ ሰለባ ይሆናሉ የሚል ግምት አለ። ከዚህ የባለሥልጣናትና የነጋዴዎች እስራት ጋር በተያያዘ የስታር ቢዝነስ ግሩፕና የጣይቱ ሆቴል የስልክ መስመሮች ከትናንት ጀምሮ መቋረጣቸውን ማወቅ ተችሏል።
ሌ/ጄ/ተስፋዬ,ሌተናል ጄነራል ተስፋዬ,ግንቦት 25/96 ከአራት ቀናት በኋላ ማለትም ግንቦት 29/96 በአዲስ አበባ ከተማ ቅዱስ ዮሴፍ ቤተክርስቲያን የተቀበሩት ሌ/ጄ/ተስፋዬ ገብረኪዳን ሕይወታቸው በሰው እጅ እንደጠፋ ቤተሰባቸው ገለጸ። ቤተሰቡ ይህን የገለጸው የአርባ ቀን መታሰቢያቸውን ምክንያት በማድረግ አሳትሞ በበተነው የጥሪ ካርድ ላይ ባስቀመጠው የግለሰቡ አጭር የሕይወት ታሪክ ነው። 
ሌ/ጄኔራል,ሌተናል ጄኔራል,በሌላም በኩል የኢህአዴግ መንግስት አሁን የወሰደው ርምጃ የኤርትራን አቋምና አጠቃላይ ሁኔታ በመገምገም ነው የሚሉ ወገኖችም አሉ፤ እነዚህ ወገኖች እንደሚሉት የኤርትራ መንግስት ያለበትን ውጥረት ለማስተንፈስ እንዲሁም ደረሰብኝ ያለውን ውርደት ለመቀበል ጦርነት ውስጥ መግባቱ አይቀርም። በኢትዮጵያ በኩል ያለፈውን ጦርነት በዋናነት የመሩትና የውጊያ ዕቅድ የነደፉት ሌ/ጄኔራል ጻድቃን ገ/ተንሳይ ከሰራዊቱ መባረራቸው፣ አቶ ስዬ አብርሃ መታሰራቸው ለሻዕቢያ የልብ ልብ ሳይሰጠው እንዳልቀረም እነዚሁ ወገኖች ይገልፃሉ፤ ስለሆነም ሻዕቢያ ጦርነት መክፈቱ ስለማይቀር ኢትዮጵያ የጦርነቱ ምክንያት ሆኖ እንዳትጠቀስ የኢህአዴግ መንግስት የአሁኑን እርምጃ ወስዷል ይላሉ፤ ሆኖም የጠ/ሚ/ሩን መግለጫ በጥልቀት የተከታተሉ፣ አቋማቸውንና ብሔራዊ ስሜታቸውን የመረመሩ ወገኖች የቀረበው ምክንያት የሚያስኬድ ቢሆንም ከጠ/ሚ/ር መለስ ብሔራዊ ስሜት አንፃር አጠራጣሪ ግምገማ ነው ይላሉ።
ልየውቅይጥ/እርካታኬንያ,,  21ብርሃኑ ልየውቅይጥ/እርካታኬንያ 
ሕ/ሥ/ሥ/ቁ,ሕግ ሥነ ሥርዓት ቁጥር,«ሃቢየስ ኮርፐስ(አካልን ለፃ የማውጣት)» የሕግ ሂደት ግለሠቦችን በሠወረ አካል ላይ የሚቀርብ ነው ወይስ ያሉበት የሚታወቅ ተከሣሾችንም ያካትት እንደሆነ ጥያቄ ያቀረብንላቸው አንድ የህግ ባለሙያ በሠጡን ማብራሪያ ተከሳሾች ያሉበት ቢታወቅም በሕጉ ከተደነገገው በላይ ፍ/ቤት ሳይቀርቡ ከቀሩ በፍትሃብሔር ሕ/ሥ/ሥ/ቁ 177 መሠረት ክስ እንዲመሰረት አሊያም በነፃ ማስለቀቅ እንደሚቻል ነው ያስረዱን።
መ/ሚ,መከላከያ ሚኒስቴር,3ኛ/አቶ ታደለ ሃዲስ ከቡና ቦርድ ጋር በመመሳጠር ሰነዱን ያስቀድዳሉ። በመሐል መንግስት የቀድሞውን ም/ጠ/ሚኒስትርና መ/ሚ ታምራት ላይኔ «ምግባረ ብልሹ ሆነው ተገኝተዋል» በ«ስኳር» ተሸንፈዋል በማለት በቁጥጥር ስር እንዲውሉ ያደርጋል። እነ ዲያቆን ደሳለኝም በመሐል አቡነ ኤልሳዕ በአራዳ ፍ/ቤት የተከሰሱበትን ክስ እንዲያዘጉ ከቡናው ሽያጭ መሐል 23.000 /ሃያ ሶስት ሺህ ብር/ ለጳጳሱ በማስረከብ ቀሪውን ክስ ከተዘጋ በኋላ ለመተሳሰብ በመነጋገር ሰኔ 16/88 የገንዘቡ ርክክብ ይፈፀማል። ውስብስብና ምስጢራዊ ምዝበራ ከአንዱ የሃይማኖት አባት በማይጠበቅ መልኩ ተፈጻሚ በመሆኑ እስከአሁን የ10ሺ ቶን ቡና የሽያጭ ትርፍን የበላ ጅብ አልጮህ ብሏል። ዲያቆን ደሳለኝ ፈንቴና አቶ ታደለ ሃዲስ እንዲሁም አባ ኤልሳዕ ከነአቶ ጉልላት ጥላሁን ጋር በመመሳጠር ተቆጣጠረ። አልባ መሆኗ ከሚነገርላት የክልል ሶስት ደቡብ ጐንደር ቤ/ክህነት ሹም 10ሺህ ቶን ቡና በቅንጅት ሽያጭ እንዲውል ተድርጐ ለቤተክርስቲያናት ግልጋሎት የሚውለው ገንዘብ የግለሰቦችን ኪስ በማሞቅ የውኃ ሽታ ሆኖ እንዲቀር ተደርጓል።
መ/ሚኒስትር,መከላከያ ሚኒስትር,የቀድሞው ም/ጠ/ሚኒስትርና መ/ሚኒስትር የነበሩት አቶ ታምራት ሶስተኛውንም ክስ በተመለከተ «ይህን ግን በእኔ ቢሮ እንዲታይ አላደረኩም። ሥራውን ከሰራው አካል ጋር ተባብረው እንዲሰሩ ነው ያደረኩት። ማለታቸውንና ሥራውን ግን በእሳቸው ኤክስፐርቶች ብቻ ማሰራት እንደሚችሉ መናገራቸውን ዜናው ገልጾ በማያያዝም «በተደጋጋሚ ኤክሰፐርቶች ተጠርተው እምቢ ብለዋል። ኮሚቴው የተመራው በካሳሁን አየለ ነበር ችሎታና እውቀት አሏቸው የሚሏቸውን ሰዎች ኮሚቴ በማቋቋም እንዲሰሩ ነው ያዘዝኩት» ሲሉ እንደተናገሩም አመልክቷል።
መ/ም/ቤት,መስተዳድር ምክር ቤት, በሌላ በኩል የኦሮሚያ ክልላዊ መ/ም/ቤት ለኢፌዴሪ የፍትሕ ሚኒስትር በ13/07/92 በቁጥር ጭ07/180/ጽ1 በፃፈው ደብዳቤ አቶ ረታ በቀለና አቶ ዳምጠው ጉድሬ ከክልሉ ም/ቤት እውቅና ውጪ በገዛ ፈቃዳቸው ሥራቸውን ለቀናል በማለታቸው ብቻ የፈጸሙት በደል በጥልቀት ሳይታይ ሥራቸውን እንደለቀቁ ተቆጥረው የተሰጣቸውን የስንብት ደብዳቤ አላግባብ መሆኑ ስለተረጋገጠ የኦሮሚያ ም/ቤት በ8ኛ መደበኛ ስብሰባው ለእነዚህ ግለሰቦች የተሰጠው የጥብቅና ፈቃድ እንዲሰረዝና ከታገዱት ዳኞችም ጋር በሕግ እንዲጠየቁ መወሰኑን አስታውቋል።
መ/ቤት,መስሪያ ቤት,የአፍሪካ አንድነት ድርጅትን ዋና መ/ቤት በአዲስ አበባ እንዲሆን ያደረጉት ቀዳማዊ ሀይለስላሴ እንደነበሩ ይታወሳል። በመቀጠልም ኮ/ል መንግስቱ ሀ/ማርያም ባደረጉት ብርቱ ጥረት የድርጅቱ መቀመጫ ከአዲስ አበባ አልተነቃነቀም። አሁን ግን በጠ/ሚ/ር መለስ ዘመን እንዲለወጥ ሀሳብ መቅረቡ ብቻ ለኢትዮጵያውያን ውርደት መሆኑን ታዛቢዎች ያሰምሩበታል።
መ/ቤቶቹ,መስሪያ ቤቶቹ,በኢትዮጵያና በኤርትራ መካከል ተፈጥሮ በነበረው ጦርነት ሳቢያ፣ ከኢትዮጵያ ተባርረው የነበሩ ኤርትራዊያን በብዛት ወደ አዲስ አበባ እየተመለሱ መሆኑን ውስጥ አዋቂ ምንጮች ገለፁ። ኤርትራዊያን ከአሁን ቀደምም በተለያዩ ምክንያቶች በጅቡቲ፣ በሱዳንና በኬንያ በኩል ወደ ኢትዮጵያ እየተመለሱ አንዳንድ የንግድ ስራ መስራት መጀመራቸው የሚታወቅ ቢሆንም፣ በአሁኑ ወቅት ግን የመንግስት ሰራተኞች የነበሩት ሳይቀሩ፣ ወደ ኢትዮጵያ እየገቡ ቀደም ሲል ይሰሩባቸው የነበሩ የመንግስት መ/ቤቶች ወደ ሥራቸው እንዲመልሷቸው የመጠየቅ ድፍረት አግኝተዋል። እነዚህ ወደ ሥራ ለመመለስ እየጠየቁ ካሉ ኤርትራውያን ለማወቅ እንደተቻለው፣ ኢህአዴግ ወደ ሥራቸው እንዲመለሱ እያመቻቸላቸው መሆኑንና ይህንን የሚገልፅ ደብዳቤም ለየመንግስት መ/ቤቶቹ እንደሚፃፍላቸው ቃል ተገብቶላቸዋል። ይህ ዓይነቱ ትዕዛዝ በማን እንደተሰጠ ሲጠየቁ ግን፣ ከጠ/ሚ/ሩ ቢሮ ነው ከማለት በስተቀር በስም የሚጠቅሱት እንደሌለ ለማወቅ ተችሏል። መለስ ዜናዊ ባቀረቡት «የሰላም ሃሳብ» ኖርማላይዜሽን/ ወደነበረበት መመለስ በሚለው መሠረት ከኢትዮጵያ ወጥተው የነበሩ ኤርትራዊያን ወደ ኢትዮጵያ እየተመለሱ እንደሆነና፣ ይህም በይፋ የተደረገ ሳይሆን መለስ ዜናዊና ለእሳቸው ቅርብ በሆኑ በጐ ፈቃደኞች ብቻ የተከናወነ መሆኑን መረጃዎች ይጠቁማሉ።
